,work,date,trip_count
0,0,2019-01-01,1262633
1,1,2019-01-02,1183165
2,1,2019-01-03,1142414
3,1,2019-01-04,1207362
4,0,2019-01-05,1002837
5,0,2019-01-06,970225
6,1,2019-01-07,1124255
7,1,2019-01-08,1148216
8,1,2019-01-09,1136026
9,1,2019-01-10,1154171
10,1,2019-01-11,1245880
11,0,2019-01-12,1079366
12,0,2019-01-13,1027484
13,1,2019-01-14,1193722
14,1,2019-01-15,1149566
15,1,2019-01-16,1204034
16,1,2019-01-17,1232626
17,1,2019-01-18,1326806
18,0,2019-01-19,1100012
19,0,2019-01-20,1053040
20,1,2019-01-21,1228000
21,1,2019-01-22,1232904
22,1,2019-01-23,1256354
23,1,2019-01-24,1253625
24,1,2019-01-25,1281946
